Name,Required Materials,Price
Barrel,"5× Wood, 2× Iron Nugget","2,100 Bells"
Oil-Barrel Bathtub,"1x Oil Barrel, 1x Campfire, 2x Stone",655 Bells
Butter Churn,"4× Wood, 2× Iron Nugget","1,980 Bells"
Wooden Bucket,"3× Wood, 1× Iron Nugget","1,110 Bells"
Birdhouse,"2× Wood, 5× Softwood",840 Bells
Stall,12x Wood,"1,400 Bells"
Flower Stand,"1x Red Roses, 2x Pink Roses, 2x Orange Roses, 2x White Lilies, 2x Yellow Lilies, 5x Puple Windflowers","2,880 Bells"
Garden Wagon,"3× White Hyacinth, 3× Red Cosmos, 3× Yellow Rose, 8× Wood, 2× Iron Nugget","3,180 Bells"
Angled Signpost,"2x Hardwood, 3x Softwood",600 Bells
Destinations Signpost,"4× Hardwood, 8× Softwood","1,440 Bells"
Tire Toy,1× Old Tire,20 Bells
Tire Stack,3× Old Tire,60 Bells
Brick Oven,"8× Clay, 2× Iron Nugget, 6× Wood","3,820 Bells"
Brick Well,"8× Clay, 5× Wood, 1× Flimsy Shovel","2,800 Bells"
Silo,"12x Iron Nugget, 6x Hardwood, 12x Clay, 12x Stone","13,920 Bells"
Stone Stool,3× Stone,450 Bells
Stone Table,8× Stone,"1,200 Bells"
Birdbath,6x Stone,900 Bells
Drinking Fountain,"8× Stone, 2× Iron Nugget","2,700 Bells"
Fountain,"1× Drinking Fountain, 20× Stone, 8× Iron Nugget","11,700 Bells"
Garden Rock,15× Stone,"2,250 Bells"
Flat Garden Rock,20× Stone,"3,000 Bells"
Tall Garden Rock,60× Stone,"9,000 Bells"
Mossy Garden Rock,"15× Stone, 15× Clump of Weeds","2,550 Bells"
Stone Arch,90× Stone,"13,500 Bells"
Simple Well,"15× Stone, 1× Flimsy Shovel","2,850 Bells"
Outdoor Bath,"20× Stone, 1× Shovel","4,350 Bells"
Wave Breaker,"10× Stone, 10x Clay","3,500 Bells"
Western-Style Stone,30× Stone,"4,500 Bells"
Stone Lion-Dog,24× Stone,"3,600 Bells"
Stone Tablet,12× Stone,"1,800 Bells"
Tall Lantern,18× Stone,"2,700 Bells"
Pond Stone,10× Stone,"1,500 Bells"
Cherry-Blossom Pond Stone,"10x Stone, 3x Cherry-Blossom Petal","2,700 Bells"
Garden Bench,"12x Wood, 4x Iron Nugget","4,440 Bells"
Sauna Heater,"6× Stone, 3× Iron Nugget, 3× Wood","3,510 Bells"
Standard Umbrella Stand,3× Iron Nugget,"2,250 Bells"
Iron Closet,12x Iron Nugget,"9,000 Bells"
Iron Frame,20× Iron Nugget,"15,000 Bells"
Iron Garden Bench,8× Iron Nugget,"6,000 Bells"
Iron Garden Chair,3× Iron Nugget,"2,250 Bells"
Iron Garden Table,5× Iron Nugget,"3,750 Bells"
Iron Hanger Stand,3× Iron Nugget,"2,250 Bells"
Iron Shelf,14x Iron Nugget,"10,500 Bells"
Iron Worktable,10x Iron Nugget,"7,500 Bells"
Gong,"6× Iron Nugget, 5× Wood","5,100 Bells"
Water Pump,"2× Iron Nugget, 6× Clay","2,700 Bells"
Jail Bars,5× Iron Nugget,"3,750 Bells"
Barbell,10× Iron Nugget,"7,500 Bells"
Manhole Cover,3× Iron Nuggets,"2,250 Bells"
Ironwood Bed,"20x Wood, 10x Iron Nugget","9,900 Bells"
Ironwood Cart,"6× Wood, 4× Iron Nugget","3,720 Bells"
Ironwood Chair,"3x Wood, 2x Iron Nugget","1,860 Bells"
Ironwood Table,"12x Wood, 6x Iron Nugget","5,940 Bells"
Ironwood Low Table,"6× Wood, 4× Iron Nugget","3,720 Bells"
Ironwood Dresser,"7× Wood, 4× Iron Nugget","3,840 Bells"
Ironwood Kitchenette,"4× Wood, 3× Iron Nugget, 1× Ironwood Dresser, 1× Cutting Board","7,560 Bells"
Ironwood Cupboard,"12× Wood, 6× Iron Nugget, 1× Ironwood Dresser","9,780 Bells"
Ironwood DIY Workbench,"12× Wood, 6× Iron Nugget, 1× Mini DIY Workbench","8,520 Bells"
Golden Casket,8x Gold Nugget,"80,000 Bells"
Golden Seat,5x Gold Nugget,"50,000 Bells"
Golden Toilet,6x Gold Nugget,"50,000 Bells"
Hay Bed,20× Clump of Weeds,400 Bells
Apple Chair,"10× Apple, 4× Wood","2,480 Bells"
Juicy-Apple TV,"10× Apple, 2× Iron Nugget","3,500 Bells"
Orange End Table,"10× Orange, 4× Wood","2,480 Bells"
Peach Chair,"10× Peaches, 5× Wood","2,600 Bells"
Pear Wardrobe,"10× Pear, 5× Wood","2,600 Bells"
Pear Bed,"10× Pear, 6× Softwood","2,720 Bells"
Scattered Papers,1x Document Stack,400 Bells
Cardboard Chair,1× Cardboard Box,60 Bells
Cardboard Sofa,2× Cardboard Box,120 Bells
Cardboard Table,4x Cardboard Box,240 Bells
Cardboard Bed,4× Cardboard Bed,240 Bells
Small Cardboard Boxes,2× Cardboard Box,120 Bells
Medium Cardboard Boxes,4× Cardboard Box,240 Bells
Large Cardboard Boxes,5x Cardboard Box,300 Bells
Pile of Zen Cushions,3x Zen Cushion,750 Bells
Zen-Style Stone,30x Stone,"4,500 Bells"
Giant Teddy Bear,"1× Papa Bear, 1× Mama Bear, 1× Baby Bear","6,300 Bells"
Moon,"15× Star Fragment, 1× Large Star Fragment","12,500 Bells"
Asteroid,"5x Star Fragment, 10x Stone","4,000 Bells"
Astronaut Suit,"5x Star Fragment, 5x Iron Nugget","6,250 Bells"
Lunar Rover,"10x Star Fragment, 10x Iron Nugget, 4x Old Tire","12,580 Bells"
Crewed Spaceship,"10× Star Fragment, 20× Iron Nugget","20,000 Bells"
Lunar Lander,"10× Star Fragment, 15× Iron Nugget","16,250 Bells"
Cosmos Shower,"5x Pink Cosmos, 3x Iron Nugget","3,050 Bells"
Crescent-Moon Chair,"7x Star Fragments, 1x Large Star Fragment","8,500 Bells"
Flying Saucer,"15x Star Fragment, 10x Iron Nugget","15,000 Bells"
Rocket,"10x Star Fragment, 20x Iron Nugget","20,000 Bells"
Satellite,"10× Star Fragment, 15× Iron Nugget","16,250 Bells"
Space Shuttle,"5× Star Fragment, 10× Iron Nugget","10,000 Bells"
Robot Hero,"1× Rocket, 1× Gold Armor, 30× Rusted Part, 90× Iron Nugget, 10× Gold Nugget","250,000 Bells"
Raccoon Figurine,6x Clay,"1,200 Bells"
Aries Rocking Chair,"3× Star Fragment, 2× Aries Fragment, 1× Gold Nugget, 5× Stone","12,125 Bells"
Aquarius Urn,"3x Star Fragment, 2x Aquarius Fragment, 2x Gold Nugget, 5x Stone","22,125 Bells"
Cancer Table,"3x Star Fragment, 2x Cancer Fragment, 2x Gold Nugget, 3x Stone","21,975 Bells"
Capricorn Ornament,"3x Star Fragment, 2x Capricorn Fragment, 2x Gold Nugget, 12x Stone","22,650 Bells"
Gemini Closet,"3x Star Fragment, 2x Gemini Fragment, 2x Gold Nugget, 6x Stone","22,200 Bells"
Pisces Lamp,"3x Star Fragment, 2x Pisces Fragment, 2x Gold Nugget, 4x Stone","22,050 Bells"
Taurus Bathtub,"3x Star Fragment, 2x Taurus Fragment, 1x Gold Nugget, 8x Stone","12,350 Bells"
Virgo Harp,"3x Star Fragment, 2x Virgo Fragment, 2x Gold Nugget, 4x Stone","22,050 Bells"
Beekeeper's Hive,"3× Wasp Nest, 5× Wood","2,400 Bells"
Hearth,"2× Bamboo Piece, 5× Iron Nugget, 4× Clay, 5× Hardwood","5,470 Bells"
Deer Scare,"3× Bamboo Piece, 8× Stone, 3× Clump of Weeds","1,740 Bells"
Bamboo Stopblock,3× Bamboo Piece,480 Bells
Bamboo Doll,6x Young Spring Bamboo,"2,400 Bells"
Bamboo Basket,7× Bamboo Piece,"1,120 Bells"
Bamboo Bench,8× Bamboo Piece,"1,280 Bells"
Bamboo Floor Lamp,8× Bamboo Piece,"1,280 Bells"
Green-Leaf Pile,"1x Young Spring Bamboo, 10x Clump of Weeds",600 Bells
Bamboo Noodle Slide,"7x Young Spring Bamboo, 3x Wood","3,160 Bells"
Bamboo Partition,"7x Bamboo Piece, 6x Stone","2,020 Bells"
Bamboo Shelf,15x Bamboo Piece,"2,400 Bells"
Bamboo Speaker,"3x Bamboo Piece, 1x Iron Nugget","1,230 Bells"
Bamboo Stool,5x Bamboo Piece,800 Bells
Cherry-Blossom-Petal Pile,5x Cherry-Blossom Petal,"2,000 Bells"
Cherry-Blossom Branches,"8x Cherry-Blossom Petal, 4x Tree Branch, 5x Clay","4,240 Bells"
Outdoor Picnic Set,10x Cherry-Blossom Petal,"4,000 Bells"
Blossom-Viewing Lantern,"6x Cherry-Blossom Petal, 4x Hardwood","2,880 Bells"
Shell Bed,"5× Giant Clam, 3× Clay, 4× Stone","10,200 Bells"
Shell Partition,"4× Venus Comb, 4× Conch","8,000 Bells"
Shell Stool,5x Cowrie,600 Bells
Shell Table,"7× Sand Dollar, 3× Clay","2,280 Bells"
Shell Fountain,"5× Giant Clam, 3× Stone","9,450 Bells"
Shell Arch,"3× Sea Snail, 3× Venus Comb, 3× Sand Dollar, 3× Coral, 3× Giant Clam, 3× Cowrie","12,360 Bells"
Pansy Table,"5× Yellow Pansies, 3× Hardwood",760 Bells
Tulip Surprise Box,"5× Red Tulips, 3× Softwood",760 Bells
Palm-Tree Lamp,"4x Coconut, 4x Wood, 4x Clay","3,280 Bells"
Kettle Bathtub,"8× Iron Nugget, 2× Wood, 1× Campfire","6,270 Bells"
Lily record player,"5× White Lilies, 3× Iron Nugget, 3× Wood","3,010 Bells"
Mum Cushion,"3x Yellow Mums, 10x Clump of Weeds",440 Bells
Rose Bed,"10x Red Roses, 5x Wood","1,400 Bells"
Bunny Day Stool,3x Water Egg,"2,400 Bells"
Bunny Day Table,4x Earth Egg,"1,600 Bells"
Bunny Day Wardrobe,4x Stone Egg,"1,600 Bells"
Bunny Day Vanity,4x Leaf Egg,"1,600 Bells"
Bunny Day Bed,"1x Earth Egg, 1x Stone Egg, 1x Leaf Egg, 1x Wood Egg, 1x Sky Egg, 1x Water Egg","2,400 Bells"
Bunny Day Merry Balloons,"1x Earth Egg, 1x Leaf Egg, 1x Sky Egg","1,200 Bells"
Bunny Day Festive Ballons,"1x Stone Egg, 1x Wood Egg, 1x Water Egg","1,200 Bells"
Bunny Day Arch,"2x Earth Egg, 2x Stone Egg, 2x Leaf Egg, 2x Wood Egg, 2x Sky Egg, 2x Water Egg","4,800 Bells"
Leaf Campfire,"3x Pinecone, 5x Clump of Weeds, 3x Tree Branch","1,330 Bells"
Leaf Stool,"3x Maple Leaf, 3x Wood","1,560 Bells"
Maple-Leaf Pond Stone,"10x Stone, 3x Maple Leaf","2,700 Bells"
Pile of Leaves,"3x Pinecone, 5x Clump of Weeds","1,300 Bells"
Red-Leaf Pile,"3x Maple Leaf, 4x Clump of Weeds","1,280 Bells"
Yellow-Leaf Pile,"3x Acorn, 5x Clump of Weeds","1,300 Bells"
Tree’s Bounty Arch,"4x Pine Cone, 5x Acorn, 5x Maple Leaf, 15x Tree Branch","5,750 Bells"
Tree’s Bounty Big Tree,"5x Pinecone, 4x Acorn, 4x Maple Leaf, 8x Tree Branches, 4x Clay","6,080 Bells"
Mush Lamp,"1x Skinny Mushroom, 5x Clay","1,600 Bells"
Mush Log,"2x Skinny Mushroom, 1x Log Stool","1,680 Bells"
Mush Low Stool,2x Round Mushroom,800 Bells
Mush Parasol,3x Flat Mushroom,"1,200 Bells"
Mush Partition,3x Skinny Mushroom,"1,800 Bells"
Mush Table,"2x Flat Mushroom, 6x Wood","1,520 Bells"
Festive Tree,"3x Red Ornament, 3x Blue Ornament, 3x Gold Ornament, 5x Wood","1,400 Bells"
Big Festive Tree,"6x Red Ornament, 6x Blue Ornament, 4x Gold Ornament, 5x Wood, 5x Clay","3,200 Bells"
Illuminated Tree,"3x Red Ornament, 4x Gold Ornament, 3x Iron Nugget","6,700 Bells"
Illuminated Present,"3x Red Ornament, 4x Gold Ornament, 3x Iron Nugget","2,950 Bells"
Illuminated Reindeer,"6x Gold Ornament, 5x Iron Nugget","4,350 Bells"
Illuminated Snowflakes,"9x Blue Ornament, 3x Gold Nugget","3,150 Bells"
Sleigh,8x Wood,960 Bells
